Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,getForcedHost,Long Statement,The length of the statement "String forced=(con.getVirtualHost() == null) ? null : con.getListener().getForcedHosts().get(con.getVirtualHost().getHostString());" is 131.,29
BungeeCord1,net.md_5.bungee.api,Favicon,create,Magic Number,The method contains a magic number: 64,66
BungeeCord1,net.md_5.bungee.api,Favicon,create,Magic Number,The method contains a magic number: 64,66
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,testNullTarget,Long Statement,The length of the statement "assertThrows(NullPointerException.class`() -> ServerConnectRequest.builder().target(null).reason(ServerConnectEvent.Reason.JOIN_PROXY).build());" is 144.,82
BungeeCord1,net.md_5.bungee.api,ChatColor,hashCode,Magic Number,The method contains a magic number: 7,168
BungeeCord1,net.md_5.bungee.api,ChatColor,hashCode,Magic Number,The method contains a magic number: 53,168
BungeeCord1,net.md_5.bungee.api,ChatColor,of,Magic Number,The method contains a magic number: 2,239
BungeeCord1,net.md_5.bungee.api,ChatColor,of,Magic Number,The method contains a magic number: 7,244
BungeeCord1,net.md_5.bungee.api,ChatColor,of,Magic Number,The method contains a magic number: 16,244
BungeeCord1,net.md_5.bungee.api.config,ListenerInfo,ListenerInfo,Long Parameter List,The method has 12 parameters. ,76
BungeeCord1,net.md_5.bungee.api.config,ListenerInfo,ListenerInfo,Long Statement,The length of the statement "this(host`motd`maxPlayers`tabListSize`serverPriority`forceDefault`forcedHosts`tabListType`setLocalAddress`pingPassthrough`queryPort`queryEnabled`false);" is 152.,76
BungeeCord1,net.md_5.bungee.api.event,AsyncEvent,completeIntent,Long Statement,The length of the statement "Preconditions.checkState(intentCount != null && intentCount.get() > 0`"Plugin %s has not registered intents for event %s"`plugin`this);" is 135.,69
BungeeCord1,net.md_5.bungee.api.event,ServerKickEvent,ServerKickEvent,Long Parameter List,The method has 5 parameters. ,66
BungeeCord1,net.md_5.bungee.api.event,ServerKickEvent,ServerKickEvent,Long Parameter List,The method has 5 parameters. ,72
BungeeCord1,net.md_5.bungee.api.plugin,LibraryLoader,LibraryLoader,Long Statement,The length of the statement "this.repositories=repository.newResolutionRepositories(session`Arrays.asList(new RemoteRepository.Builder("central"`"default"`"https://repo.maven.apache.org/maven2").build()));" is 176.,43
BungeeCord1,net.md_5.bungee.api.plugin,LibraryLoader,createLoader,Long Statement,The length of the statement "logger.log(Level.INFO`"[{0}] Loading {1} libraries... please wait"`new Object[]{desc.getName()`desc.getLibraries().size()});" is 124.,74
BungeeCord1,net.md_5.bungee.api.plugin,LibraryLoader,createLoader,Long Statement,The length of the statement "result=repository.resolveDependencies(session`new DependencyRequest(new CollectRequest((Dependency)null`dependencies`repositories)`null));" is 138.,74
BungeeCord1,net.md_5.bungee.api.plugin,Plugin,Plugin,Long Statement,The length of the statement "Preconditions.checkState(classLoader instanceof PluginClassloader`"Plugin requires " + PluginClassloader.class.getName());" is 122.,31
BungeeCord1,net.md_5.bungee.api.plugin,Plugin,Plugin,Long Statement,The length of the statement "Preconditions.checkState(!(classLoader instanceof PluginClassloader)`"Cannot use initialization constructor at runtime");" is 121.,39
