Project Name,Package Name,Architecture Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.api,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.api.connection; net.md_5.bungee.api.plugin; net.md_5.bungee.api.scheduler; net.md_5.bungee.api.event
BungeeCord1,net.md_5.bungee.api,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractReconnectHandler; ReconnectHandler; CommandSender; ProxyServer; Title; Favicon; ProxyConfig; ServerPing; Callback; ServerConnectRequest; ServerConnectRequestTest]; [ServerConnectRequest.Result]; [ServerConnectRequest.Builder]; [ServerPing.Protocol]; [ServerPing.Players]; [ServerPing.PlayerInfo]; [ServerPing.ModInfo]; [ServerPing.ModItem]; [SkinConfiguration]; [ChatColor]; [ChatMessageType]. LCC (Lack of Component Cohesion) = 0.52
BungeeCord1,net.md_5.bungee.api,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api.connection; net.md_5.bungee.api.config.
BungeeCord1,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.32. All the dependencies among components: from: net.md_5.bungee.api to: net.md_5.bungee.api.connection; from: net.md_5.bungee.api to: net.md_5.bungee.api.config; from: net.md_5.bungee.api to: net.md_5.bungee.api.chat; from: net.md_5.bungee.api to: net.md_5.bungee.api.plugin; from: net.md_5.bungee.api to: net.md_5.bungee.api.scheduler; from: net.md_5.bungee.api to: net.md_5.bungee.api.event; from: net.md_5.bungee.api.config to: net.md_5.bungee.api; from: net.md_5.bungee.api.connection to: net.md_5.bungee.api.chat; from: net.md_5.bungee.api.connection to: net.md_5.bungee.api.config; from: net.md_5.bungee.api.connection to: net.md_5.bungee.api; from: net.md_5.bungee.api.connection to: net.md_5.bungee.api.score; from: net.md_5.bungee.api.connection to: net.md_5.bungee.api.event; from: net.md_5.bungee.api.event to: net.md_5.bungee.api; from: net.md_5.bungee.api.event to: net.md_5.bungee.api.plugin; from: net.md_5.bungee.api.event to: net.md_5.bungee.api.connection; from: net.md_5.bungee.api.event to: net.md_5.bungee.api.config; from: net.md_5.bungee.api.event to: net.md_5.bungee.api.chat; from: net.md_5.bungee.api.event to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee.api.plugin to: net.md_5.bungee.api; from: net.md_5.bungee.api.plugin to: net.md_5.bungee.api.scheduler; from: net.md_5.bungee.api.plugin to: net.md_5.bungee.event; from: net.md_5.bungee.api.scheduler to: net.md_5.bungee.api.plugin; from: net.md_5.bungee.command to: net.md_5.bungee.api; from: net.md_5.bungee.command to: net.md_5.bungee.api.connection; from: net.md_5.bungee.command to: net.md_5.bungee; from: net.md_5.bungee.command to: net.md_5.bungee.api.chat; from: net.md_5.bungee.util to: net.md_5.bungee; from: net.md_5.bungee.util to: net.md_5.bungee.api.connection; from: net.md_5.bungee.util to: net.md_5.bungee.api.chat; from: net.md_5.bungee.util to: net.md_5.bungee.api.chat.hover.content; from: net.md_5.bungee.util to: net.md_5.bungee.api.score; from: net.md_5.bungee.util to: net.md_5.bungee.protocol; from: net.md_5.bungee to: net.md_5.bungee.jni; from: net.md_5.bungee to: net.md_5.bungee.jni.cipher; from: net.md_5.bungee to: net.md_5.bungee.jni.zlib; from: net.md_5.bungee to: net.md_5.bungee.conf; from: net.md_5.bungee to: net.md_5.bungee.api.plugin; from: net.md_5.bungee to: net.md_5.bungee.api; from: net.md_5.bungee to: net.md_5.bungee.api.config; from: net.md_5.bungee to: net.md_5.bungee.scheduler; from: net.md_5.bungee to: net.md_5.bungee.module; from: net.md_5.bungee to: net.md_5.bungee.log; from: net.md_5.bungee to: net.md_5.bungee.netty; from: net.md_5.bungee to: net.md_5.bungee.protocol; from: net.md_5.bungee to: net.md_5.bungee.api.connection; from: net.md_5.bungee to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee to: net.md_5.bungee.api.chat; from: net.md_5.bungee to: org.slf4j.impl; from: net.md_5.bungee to: net.md_5.bungee.compress; from: net.md_5.bungee to: net.md_5.bungee.forge; from: net.md_5.bungee to: net.md_5.bungee.connection; from: net.md_5.bungee to: net.md_5.bungee.util; from: net.md_5.bungee to: net.md_5.bungee.api.event; from: net.md_5.bungee to: net.md_5.bungee.api.score; from: net.md_5.bungee to: net.md_5.bungee.chat; from: net.md_5.bungee to: net.md_5.bungee.tab; from: net.md_5.bungee to: net.md_5.bungee.entitymap; from: net.md_5.bungee.api.chat to: net.md_5.bungee.api; from: net.md_5.bungee.api.chat to: net.md_5.bungee.api.chat.hover.content; from: net.md_5.bungee.api.chat to: net.md_5.bungee.chat; from: net.md_5.bungee.api.chat.hover.content to: net.md_5.bungee.api.chat; from: net.md_5.bungee.chat to: net.md_5.bungee.api.chat; from: net.md_5.bungee.chat to: net.md_5.bungee.api; from: net.md_5.bungee.log to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.alert to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.alert to: net.md_5.bungee.api.chat; from: net.md_5.bungee.module.cmd.alert to: net.md_5.bungee.chat; from: net.md_5.bungee.module.cmd.find to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.find to: net.md_5.bungee.api.connection; from: net.md_5.bungee.module.cmd.find to: net.md_5.bungee.api.config; from: net.md_5.bungee.module.cmd.find to: net.md_5.bungee.api.chat; from: net.md_5.bungee.module.cmd.kick to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.kick to: net.md_5.bungee.api.connection; from: net.md_5.bungee.module.cmd.kick to: net.md_5.bungee.api.chat; from: net.md_5.bungee.module.cmd.list to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.list to: net.md_5.bungee.api.chat; from: net.md_5.bungee.module.cmd.send to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.send to: net.md_5.bungee.api.connection; from: net.md_5.bungee.module.cmd.send to: net.md_5.bungee.api.config; from: net.md_5.bungee.module.cmd.send to: net.md_5.bungee.api.chat; from: net.md_5.bungee.module.cmd.send to: net.md_5.bungee.api.event; from: net.md_5.bungee.module.cmd.server to: net.md_5.bungee.api; from: net.md_5.bungee.module.cmd.server to: net.md_5.bungee.api.chat; from: net.md_5.bungee.module.cmd.server to: net.md_5.bungee.api.connection; from: net.md_5.bungee.module.cmd.server to: net.md_5.bungee.api.config; from: net.md_5.bungee.module.cmd.server to: net.md_5.bungee.api.event; from: net.md_5.bungee.module.reconnect.yaml to: net.md_5.bungee.util; from: net.md_5.bungee.module.reconnect.yaml to: net.md_5.bungee.api.connection; from: net.md_5.bungee.module.reconnect.yaml to: net.md_5.bungee.api.config; from: net.md_5.bungee.jni.zlib to: net.md_5.bungee.jni; from: net.md_5.bungee.protocol to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee.protocol to: net.md_5.bungee.api.chat; from: net.md_5.bungee.protocol to: net.md_5.bungee.chat; from: net.md_5.bungee.protocol.packet to: net.md_5.bungee.api.chat; from: net.md_5.bungee.protocol.packet to: net.md_5.bungee.protocol; from: net.md_5.bungee.protocol.packet to: net.md_5.bungee.chat; from: net.md_5.bungee.protocol.packet to: net.md_5.bungee.api; from: net.md_5.bungee.compress to: net.md_5.bungee.jni; from: net.md_5.bungee.compress to: net.md_5.bungee.jni.zlib; from: net.md_5.bungee.compress to: net.md_5.bungee.protocol; from: net.md_5.bungee.conf to: net.md_5.bungee.api; from: net.md_5.bungee.conf to: net.md_5.bungee.api.config; from: net.md_5.bungee.conf to: net.md_5.bungee.util; from: net.md_5.bungee.conf to: net.md_5.bungee; from: net.md_5.bungee.connection to: net.md_5.bungee.api; from: net.md_5.bungee.connection to: net.md_5.bungee; from: net.md_5.bungee.connection to: net.md_5.bungee.api.config; from: net.md_5.bungee.connection to: net.md_5.bungee.netty; from: net.md_5.bungee.connection to: net.md_5.bungee.api.event; from: net.md_5.bungee.connection to: net.md_5.bungee.protocol; from: net.md_5.bungee.connection to: net.md_5.bungee.entitymap; from: net.md_5.bungee.connection to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee.connection to: net.md_5.bungee.tab; from: net.md_5.bungee.connection to: net.md_5.bungee.api.score; from: net.md_5.bungee.connection to: net.md_5.bungee.api.connection; from: net.md_5.bungee.connection to: net.md_5.bungee.chat; from: net.md_5.bungee.connection to: net.md_5.bungee.util; from: net.md_5.bungee.connection to: net.md_5.bungee.api.chat; from: net.md_5.bungee.connection to: net.md_5.bungee.jni.cipher; from: net.md_5.bungee.connection to: net.md_5.bungee.http; from: net.md_5.bungee.connection to: net.md_5.bungee.forge; from: net.md_5.bungee.entitymap to: net.md_5.bungee.protocol; from: net.md_5.bungee.entitymap to: net.md_5.bungee; from: net.md_5.bungee.entitymap to: net.md_5.bungee.api.connection; from: net.md_5.bungee.forge to: net.md_5.bungee; from: net.md_5.bungee.forge to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee.forge to: net.md_5.bungee.netty; from: net.md_5.bungee.forge to: net.md_5.bungee.api.config; from: net.md_5.bungee.forge to: net.md_5.bungee.protocol; from: net.md_5.bungee.http to: net.md_5.bungee.api; from: net.md_5.bungee.http to: net.md_5.bungee.netty; from: net.md_5.bungee.module to: net.md_5.bungee; from: net.md_5.bungee.module to: net.md_5.bungee.api; from: net.md_5.bungee.module to: net.md_5.bungee.util; from: net.md_5.bungee.module to: net.md_5.bungee.api.plugin; from: net.md_5.bungee.netty to: net.md_5.bungee.protocol; from: net.md_5.bungee.netty to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee.netty to: net.md_5.bungee.compress; from: net.md_5.bungee.netty to: net.md_5.bungee.api.config; from: net.md_5.bungee.netty to: net.md_5.bungee; from: net.md_5.bungee.netty.cipher to: net.md_5.bungee.jni.cipher; from: net.md_5.bungee.scheduler to: net.md_5.bungee.api.plugin; from: net.md_5.bungee.scheduler to: net.md_5.bungee.api.scheduler; from: net.md_5.bungee.tab to: net.md_5.bungee.api.connection; from: net.md_5.bungee.tab to: net.md_5.bungee.protocol.packet; from: net.md_5.bungee.tab to: net.md_5.bungee.protocol; from: net.md_5.bungee.tab to: net.md_5.bungee; from: net.md_5.bungee.tab to: net.md_5.bungee.connection; from: net.md_5.bungee.query to: net.md_5.bungee.api; from: net.md_5.bungee.query to: net.md_5.bungee.api.config.
BungeeCord1,net.md_5.bungee.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api; net.md_5.bungee.api.connection; net.md_5.bungee.api
BungeeCord1,net.md_5.bungee.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api; net.md_5.bungee.api.config; net.md_5.bungee.api
BungeeCord1,net.md_5.bungee.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api; net.md_5.bungee.api.chat; net.md_5.bungee.api
BungeeCord1,net.md_5.bungee.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api; net.md_5.bungee.api.plugin; net.md_5.bungee.api
BungeeCord1,net.md_5.bungee.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api; net.md_5.bungee.api.event; net.md_5.bungee.api
BungeeCord1,net.md_5.bungee.api.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.api
