Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,getServer,11,3,1,11,0,net.md_5.bungee.api.connection.ProxiedPlayer,net.md_5.bungee.api.connection.ProxiedPlayer; net.md_5.bungee.api.config.ListenerInfo; net.md_5.bungee.api.connection.PendingConnection; net.md_5.bungee.api.AbstractReconnectHandler; net.md_5.bungee.api.ProxyServer
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,getForcedHost,7,2,1,29,0,net.md_5.bungee.api.config.ListenerInfo,net.md_5.bungee.api.config.ListenerInfo; net.md_5.bungee.api.connection.PendingConnection; net.md_5.bungee.api.ProxyServer
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,getStoredServer,0,1,1,40,0,,
BungeeCord1,net.md_5.bungee.api,Callback,done,0,1,2,12,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,getName,0,1,0,9,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,sendMessage,0,1,1,16,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,sendMessages,0,1,1,24,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,sendMessage,0,1,1,33,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,sendMessage,0,1,1,40,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,getGroups,0,1,0,47,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,addGroups,0,1,1,55,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,removeGroups,0,1,1,62,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,hasPermission,0,1,1,69,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,setPermission,0,1,2,77,0,,
BungeeCord1,net.md_5.bungee.api,CommandSender,getPermissions,0,1,0,85,0,,
BungeeCord1,net.md_5.bungee.api,Favicon,write,8,2,2,27,0,,
BungeeCord1,net.md_5.bungee.api,Favicon,read,9,2,1,39,0,,
BungeeCord1,net.md_5.bungee.api,Favicon,getFaviconTypeAdapter,3,1,0,54,0,,
BungeeCord1,net.md_5.bungee.api,Favicon,create,20,3,1,66,0,,
BungeeCord1,net.md_5.bungee.api,Favicon,create,3,1,1,109,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getTimeout,0,1,0,17,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getUuid,0,1,0,24,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getListeners,0,1,0,31,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getServers,0,1,0,38,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,isOnlineMode,0,1,0,45,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,isLogCommands,0,1,0,52,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getRemotePingCache,0,1,0,59,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getPlayerLimit,0,1,0,67,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getDisabledCommands,0,1,0,74,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getServerConnectTimeout,0,1,0,81,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getRemotePingTimeout,0,1,0,89,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getThrottle,0,1,0,97,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,isIpForward,0,1,0,105,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getFavicon,0,1,0,113,0,,
BungeeCord1,net.md_5.bungee.api,ProxyConfig,getFaviconObject,0,1,0,122,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,setInstance,5,1,1,26,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getName,0,1,0,39,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getVersion,0,1,0,46,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getTranslation,0,1,2,53,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getLogger,0,1,0,62,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getPlayers,0,1,0,70,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getPlayer,0,1,1,77,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getPlayer,0,1,1,85,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getServers,0,1,0,93,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getServerInfo,0,1,1,102,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getPluginManager,0,1,0,110,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getConfigurationAdapter,0,1,0,119,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,setConfigurationAdapter,0,1,1,126,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getReconnectHandler,0,1,0,134,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,setReconnectHandler,0,1,1,141,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,stop,0,1,0,148,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,stop,0,1,1,153,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,registerChannel,0,1,1,160,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,unregisterChannel,0,1,1,168,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getChannels,0,1,0,175,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getGameVersion,0,1,0,182,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getProtocolVersion,0,1,0,190,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,constructServerInfo,0,1,4,198,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,constructServerInfo,0,1,4,210,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getConsole,0,1,0,222,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getPluginsFolder,0,1,0,231,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getScheduler,0,1,0,238,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getOnlineCount,0,1,0,245,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,broadcast,0,1,1,254,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,broadcast,0,1,1,262,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,broadcast,0,1,1,269,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getDisabledCommands,0,1,0,276,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,getConfig,0,1,0,283,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,matchPlayer,0,1,1,290,0,,
BungeeCord1,net.md_5.bungee.api,ProxyServer,createTitle,0,1,0,304,0,,
BungeeCord1,net.md_5.bungee.api,ReconnectHandler,getServer,0,1,1,9,0,,
BungeeCord1,net.md_5.bungee.api,ReconnectHandler,setServer,0,1,1,17,0,,
BungeeCord1,net.md_5.bungee.api,ReconnectHandler,save,0,1,0,25,0,,
BungeeCord1,net.md_5.bungee.api,ReconnectHandler,close,0,1,0,32,0,,
BungeeCord1,net.md_5.bungee.api,ServerPing,ServerPing,3,1,4,105,0,net.md_5.bungee.api.chat.TextComponent,net.md_5.bungee.api.chat.TextComponent
BungeeCord1,net.md_5.bungee.api,ServerPing,ServerPing,3,1,4,111,0,net.md_5.bungee.api.chat.TextComponent,net.md_5.bungee.api.chat.TextComponent
BungeeCord1,net.md_5.bungee.api,ServerPing,getFavicon,3,1,0,117,0,net.md_5.bungee.api.ServerPing,net.md_5.bungee.api.ServerPing
BungeeCord1,net.md_5.bungee.api,ServerPing,getFaviconObject,3,1,0,123,0,,
BungeeCord1,net.md_5.bungee.api,ServerPing,setFavicon,3,1,1,128,0,,
BungeeCord1,net.md_5.bungee.api,ServerPing,setFavicon,3,1,1,134,0,,
BungeeCord1,net.md_5.bungee.api,ServerPing,setDescription,3,1,1,139,0,net.md_5.bungee.api.chat.TextComponent,net.md_5.bungee.api.chat.TextComponent
BungeeCord1,net.md_5.bungee.api,ServerPing,getDescription,3,1,0,145,0,,
BungeeCord1,net.md_5.bungee.api,ServerPing,setDescriptionComponent,3,1,1,151,0,,
BungeeCord1,net.md_5.bungee.api,ServerPing,getDescriptionComponent,3,1,0,156,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasCape,0,1,0,10,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasJacket,0,1,0,12,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasLeftSleeve,0,1,0,14,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasRightSleeve,0,1,0,16,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasLeftPants,0,1,0,18,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasRightPants,0,1,0,20,0,,
BungeeCord1,net.md_5.bungee.api,SkinConfiguration,hasHat,0,1,0,22,0,,
BungeeCord1,net.md_5.bungee.api,Title,title,0,1,1,19,0,,
BungeeCord1,net.md_5.bungee.api,Title,title,0,1,1,27,0,,
BungeeCord1,net.md_5.bungee.api,Title,subTitle,0,1,1,35,0,,
BungeeCord1,net.md_5.bungee.api,Title,subTitle,0,1,1,43,0,,
BungeeCord1,net.md_5.bungee.api,Title,fadeIn,0,1,1,51,0,,
BungeeCord1,net.md_5.bungee.api,Title,stay,0,1,1,62,0,,
BungeeCord1,net.md_5.bungee.api,Title,fadeOut,0,1,1,73,0,,
BungeeCord1,net.md_5.bungee.api,Title,clear,0,1,0,82,0,,
BungeeCord1,net.md_5.bungee.api,Title,reset,0,1,0,90,0,,
BungeeCord1,net.md_5.bungee.api,Title,send,0,1,1,98,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,getName,3,1,0,17,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,getSocketAddress,3,1,0,23,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,getAddress,3,1,0,29,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,getPlayers,3,1,0,35,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,getMotd,3,1,0,41,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,isRestricted,3,1,0,47,0,,
BungeeCord1,net.md_5.bungee.api,ServerConnectRequestTest,getPermission,3,1,0,53,0,,
