Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,Law of Demeter violation,The tool detected the smell in this method (getServer) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.PendingConnection.getListener; net.md_5.bungee.api.config.ListenerInfo.getDefaultServer; net.md_5.bungee.api.connection.ProxiedPlayer.getPendingConnection
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,Law of Demeter violation,The tool detected the smell in this method (getForcedHost) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.PendingConnection.getListener; net.md_5.bungee.api.config.ListenerInfo.getDefaultServer
BungeeCord1,net.md_5.bungee.api,ProxyServer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
BungeeCord1,net.md_5.bungee.api,ServerConnectRequest.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.api,ServerPing.Protocol,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.api,ServerPing.Players,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.api,ServerPing.PlayerInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.api,ServerPing.ModInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.api,ServerPing.ModItem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.api.connection,ProxiedPlayer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
BungeeCord1,net.md_5.bungee.api.event,ChatEvent,Law of Demeter violation,The tool detected the smell in this method (isProxyCommand) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.ProxyServer.getPluginManager; net.md_5.bungee.api.plugin.PluginManager.isExecutableCommand
BungeeCord1,net.md_5.bungee.api.event,ServerKickEvent,Law of Demeter violation,The tool detected the smell in this method (ServerKickEvent) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.Server.getInfo; net.md_5.bungee.api.connection.ProxiedPlayer.getServer
BungeeCord1,net.md_5.bungee.api.plugin,PluginClassloader,Law of Demeter violation,The tool detected the smell in this method (loadClass0) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.ProxyServer.getPluginManager; net.md_5.bungee.api.plugin.PluginManager.isTransitiveDepend
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.md_5.bungee.api.plugin.LibraryLoader; net.md_5.bungee.event.EventBus
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,Law of Demeter violation,The tool detected the smell in this method (dispatchCommand) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.ProxyConfig.isLogCommands; net.md_5.bungee.api.ProxyServer.getConfig
BungeeCord1,net.md_5.bungee.api.scheduler,GroupedThreadFactory.BungeeGroup,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
BungeeCord1,net.md_5.bungee.command,CommandEnd,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.getInstance; net.md_5.bungee.BungeeCord.stop
BungeeCord1,net.md_5.bungee.command,CommandEnd,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.getInstance; net.md_5.bungee.BungeeCord.stop
BungeeCord1,net.md_5.bungee.command,CommandIP,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.chat.ComponentBuilder.create; net.md_5.bungee.api.chat.ComponentBuilder.event; net.md_5.bungee.api.chat.ComponentBuilder.appendLegacy
BungeeCord1,net.md_5.bungee.command,CommandPerms,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.ProxyServer.getConfigurationAdapter; net.md_5.bungee.api.config.ConfigurationAdapter.getPermissions
BungeeCord1,net.md_5.bungee.command,CommandReload,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.reloadMessages; net.md_5.bungee.BungeeCord.getInstance
BungeeCord1,net.md_5.bungee.command,CommandReload,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.getInstance; net.md_5.bungee.BungeeCord.stopListeners
BungeeCord1,net.md_5.bungee.command,CommandReload,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.BungeeCord.getInstance; net.md_5.bungee.BungeeCord.startListeners
BungeeCord1,net.md_5.bungee.command,ConsoleCommandCompleter,Law of Demeter violation,The tool detected the smell in this method (complete) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.ProxyServer.getPluginManager; net.md_5.bungee.api.plugin.PluginManager.getCommands
BungeeCord1,net.md_5.bungee.command,ConsoleCommandCompleter,Law of Demeter violation,The tool detected the smell in this method (complete) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.ProxyServer.getPluginManager; net.md_5.bungee.api.plugin.PluginManager.dispatchCommand
BungeeCord1,net.md_5.bungee.util,ChatComponentTransformer,Law of Demeter violation,The tool detected the smell in this method (legacyHoverTransform) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.PendingConnection.getVersion; net.md_5.bungee.api.connection.ProxiedPlayer.getPendingConnection
BungeeCord1,net.md_5.bungee.util,ChatComponentTransformer,Law of Demeter violation,The tool detected the smell in this method (transformScoreComponent) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.ProxiedPlayer.getScoreboard; net.md_5.bungee.api.score.Scoreboard.getObjective
BungeeCord1,net.md_5.bungee.util,ChatComponentTransformer,Law of Demeter violation,The tool detected the smell in this method (transformScoreComponent) because the method voilates the law of Demeter. The long chain of method invocations is : net.md_5.bungee.api.connection.ProxiedPlayer.getScoreboard; net.md_5.bungee.api.score.Scoreboard.getScore
