Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
BungeeCord1,net.md_5.bungee.api,AbstractReconnectHandler,0,0,3,2,21,6,1,1,-1.0,1,3,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\AbstractReconnectHandler.java,8
BungeeCord1,net.md_5.bungee.api,Callback,0,0,1,1,12,1,1,0,-1.0,16,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\Callback.java,3
BungeeCord1,net.md_5.bungee.api,CommandSender,0,0,11,11,59,11,2,0,-1.0,25,1,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\CommandSender.java,6
BungeeCord1,net.md_5.bungee.api,Favicon,2,0,5,5,67,9,0,0,1.0,3,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\Favicon.java,18
BungeeCord1,net.md_5.bungee.api,ProxyConfig,0,0,15,0,82,15,1,0,-1.0,1,1,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ProxyConfig.java,8
BungeeCord1,net.md_5.bungee.api,ProxyServer,1,0,35,35,196,35,1,0,1.0,12,10,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ProxyServer.java,20
BungeeCord1,net.md_5.bungee.api,ReconnectHandler,0,0,4,0,21,4,1,0,-1.0,2,2,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ReconnectHandler.java,6
BungeeCord1,net.md_5.bungee.api,ServerConnectRequest,6,0,0,0,50,0,0,0,-1.0,7,3,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerConnectRequest.java,10
BungeeCord1,net.md_5.bungee.api,ServerConnectRequest.Result,0,0,0,0,19,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerConnectRequest.java,18
BungeeCord1,net.md_5.bungee.api,ServerConnectRequest.Builder,1,0,0,0,6,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerConnectRequest.java,72
BungeeCord1,net.md_5.bungee.api,ServerPing,17,0,10,10,77,10,0,0,0.0,6,3,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerPing.java,14
BungeeCord1,net.md_5.bungee.api,ServerPing.Protocol,2,0,0,0,4,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerPing.java,27
BungeeCord1,net.md_5.bungee.api,ServerPing.Players,3,0,0,0,5,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerPing.java,37
BungeeCord1,net.md_5.bungee.api,ServerPing.PlayerInfo,3,0,0,0,20,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerPing.java,47
BungeeCord1,net.md_5.bungee.api,ServerPing.ModInfo,2,0,0,0,4,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerPing.java,84
BungeeCord1,net.md_5.bungee.api,ServerPing.ModItem,2,0,0,0,4,0,0,0,-1.0,0,0,C:\Users\Simon\Documents\git1\BungeeCord1\api\src\main\java\net\md_5\bungee\api\ServerPing.java,92
